Year,Company Name,Type of Breach,Records Compromised,Financial Loss,Impact Level,Industry,Human Error Factor,Human Error Factor Code,Mitigation Measures
2017,FBI,Insider Threat,237033,2441022.077,High,Government,Weak Password Management,5,Data Encryption
2014,Wells Fargo,DDoS Attack,187255,480400.1596,Low,Finance,Unintentional Info Leak ,1,Access Controls
2020,Facebook,Password Guessing,952352,2536661.362,High,Technology,Weak Password Management,5,Access Controls
2013,HCA Healthcare,Password Guessing,31451,2001966.118,Medium,Healthcare,Phishing Attack,4,Regular Audits
2002,HUD,Physical Breach,768712,1573225.629,Low,Government,Insider Threat,3,Regular Security Training
2005,US Bancorp,Password Guessing,495837,1011526.647,Critical,Finance,Improper Disposal ,2,Regular Audits
2020,Apple,Physical Breach,537174,994999.708,Critical,Technology,Improper Disposal ,2,Access Controls
2011,Intel,Malware,496104,1449507.143,Critical,Technology,Insider Threat,3,Regular Security Training
2009,HP,Phishing,218062,1919790.043,High,Technology,Phishing Attack,4,Access Controls
2007,USPS,Insider Threat,525513,1057573.961,Critical,Government,Improper Disposal ,2,Regular Security Training
2007,DOD,Password Guessing,74234,498303.8742,Low,Government,Unintentional Info Leak ,1,Regular Audits
2015,JPMorgan Chase,Phishing,822079,1420389.372,Medium,Finance,Insider Threat,3,Two-factor Authentication
2022,Kroger,Password Guessing,561118,2549718.919,High,Retail,Weak Password Management,5,Data Encryption
2012,Wells Fargo,Ransomware,419832,994472.5557,High,Finance,Improper Disposal ,2,Access Controls
2003,Cisco,Malware,889217,2006012.381,Critical,Technology,Phishing Attack,4,Regular Security Training
2011,Microsoft,Password Guessing,357342,495825.2819,Medium,Technology,Unintentional Info Leak ,1,Regular Security Training
2008,Citigroup,Ransomware,674223,1431810.018,High,Finance,Insider Threat,3,Regular Security Training
2024,Morgan Stanley,Ransomware,310636,2403383.077,Medium,Finance,Weak Password Management,5,Data Encryption
2018,Johns Hopkins,Physical Breach,38480,1410879.634,Medium,Healthcare,Insider Threat,3,Two-factor Authentication
2007,US Bancorp,Physical Breach,381343,1516186.829,Medium,Finance,Insider Threat,3,Regular Audits
2020,Amazon,Insider Threat,748717,1532111.396,Medium,Technology,Insider Threat,3,Regular Security Training
2019,Citigroup,DDoS Attack,403890,1965144.843,Medium,Finance,Phishing Attack,4,Regular Audits
2009,IBM,Physical Breach,13652,2056214.066,High,Technology,Phishing Attack,4,Access Controls
2015,Costco,Ransomware,676127,1491180.959,Critical,Retail,Insider Threat,3,Regular Audits
2011,Bank of America,DDoS Attack,972067,898079.1335,Medium,Finance,Improper Disposal ,2,Access Controls
2005,Home Depot,Insider Threat,15923,2038041.876,Low,Retail,Phishing Attack,4,Data Encryption
2006,Capital One,Malware,292835,984527.3397,High,Finance,Improper Disposal ,2,Regular Security Training
2011,Capital One,Insider Threat,598067,974521.917,Critical,Finance,Improper Disposal ,2,Regular Security Training
2023,Community Health Systems,Ransomware,697510,1465473.043,High,Healthcare,Insider Threat,3,Regular Audits
2002,Mayo Clinic,Physical Breach,561730,1015717.061,High,Healthcare,Improper Disposal ,2,Two-factor Authentication
2014,EPA,Physical Breach,261017,948793.9036,High,Government,Improper Disposal ,2,Regular Security Training
2007,Walgreens,Malware,43187,1455629.508,Medium,Retail,Insider Threat,3,Two-factor Authentication
2023,Bank of America,Password Guessing,872044,491201.0581,Critical,Finance,Unintentional Info Leak ,1,Regular Audits
2009,US Bancorp,Malware,239641,1545004.271,High,Finance,Insider Threat,3,Access Controls
2003,Target,DDoS Attack,54564,461754.9866,High,Retail,Unintentional Info Leak ,1,Access Controls
2003,American Express,Phishing,500159,2049126.78,High,Finance,Phishing Attack,4,Regular Audits
2015,Capital One,Physical Breach,11068,1962463.89,Critical,Finance,Phishing Attack,4,Access Controls
2024,Lowe's,Physical Breach,845906,574231.3796,High,Retail,Unintentional Info Leak ,1,Data Encryption
2024,PNC Financial,Physical Breach,284894,1089216.906,Medium,Finance,Improper Disposal ,2,Access Controls
2016,EPA,Password Guessing,315192,2050412.048,High,Government,Phishing Attack,4,Data Encryption
2021,Goldman Sachs,Physical Breach,324804,1962434.115,Medium,Finance,Phishing Attack,4,Access Controls
2000,Treasury Department,Physical Breach,494361,1013200.351,Medium,Government,Improper Disposal ,2,Data Encryption
2003,Walgreens,Ransomware,669868,1532429.496,Critical,Retail,Insider Threat,3,Two-factor Authentication
2024,NASA,Malware,323122,999177.4546,Medium,Government,Improper Disposal ,2,Access Controls
2003,NASA,Physical Breach,221507,461873.5235,Medium,Government,Unintentional Info Leak ,1,Regular Security Training
2024,American Express,DDoS Attack,181121,1988587.49,High,Finance,Phishing Attack,4,Data Encryption
2016,US Bancorp,Password Guessing,625143,1048982.734,High,Finance,Improper Disposal ,2,Regular Security Training
2008,Lowe's,DDoS Attack,875972,468066.0623,Medium,Retail,Unintentional Info Leak ,1,Data Encryption
2023,IBM,Insider Threat,323979,2017543.322,Medium,Technology,Phishing Attack,4,Two-factor Authentication
2024,Cleveland Clinic,Phishing,429645,2477863.935,Critical,Healthcare,Weak Password Management,5,Data Encryption
2000,HCA Healthcare,Malware,695214,2028258.247,Medium,Healthcare,Phishing Attack,4,Two-factor Authentication
2010,Ascension,DDoS Attack,401982,1968609.913,High,Healthcare,Phishing Attack,4,Regular Security Training
2019,HP,Insider Threat,899004,2008122.755,Low,Technology,Phishing Attack,4,Data Encryption
2023,Kindred Healthcare,Password Guessing,622742,2023222.486,Critical,Healthcare,Phishing Attack,4,Access Controls
2022,Goldman Sachs,Malware,294750,2434297.556,High,Finance,Weak Password Management,5,Two-factor Authentication
2001,CVS,Ransomware,565024,931329.6058,Critical,Retail,Improper Disposal ,2,Access Controls
2004,USPS,Ransomware,813901,1963390.409,Critical,Government,Phishing Attack,4,Regular Audits
2009,CVS,Malware,590128,1525967.846,Medium,Retail,Insider Threat,3,Regular Audits
2024,UPMC,Physical Breach,557822,1485710.513,High,Healthcare,Insider Threat,3,Two-factor Authentication
2022,US Bancorp,DDoS Attack,379776,1943174.071,High,Finance,Phishing Attack,4,Regular Security Training
2010,Mayo Clinic,Malware,484187,2025692.202,Medium,Healthcare,Phishing Attack,4,Data Encryption
2019,Google,Malware,125980,1036885.171,High,Technology,Improper Disposal ,2,Two-factor Authentication
2016,Kroger,Physical Breach,392616,2496940.417,High,Retail,Weak Password Management,5,Regular Audits
2010,Ascension,Insider Threat,297376,479848.4168,High,Healthcare,Unintentional Info Leak ,1,Regular Audits
2002,Capital One,DDoS Attack,118791,1627446.365,High,Finance,Insider Threat,3,Regular Audits
2014,Best Buy,Password Guessing,201160,2433873.213,High,Retail,Weak Password Management,5,Data Encryption
2014,Oracle,Password Guessing,160598,1015921.333,Low,Technology,Improper Disposal ,2,Data Encryption
2014,IBM,DDoS Attack,727229,1099344.137,Critical,Technology,Improper Disposal ,2,Access Controls
2018,Cisco,Phishing,654986,968527.0669,Low,Technology,Improper Disposal ,2,Data Encryption
2013,Walgreens,Ransomware,898135,935843.2782,High,Retail,Improper Disposal ,2,Regular Audits
2014,CVS,DDoS Attack,862431,2484064.519,Medium,Retail,Weak Password Management,5,Regular Security Training
2006,American Express,Malware,324466,1015047.368,Low,Finance,Improper Disposal ,2,Two-factor Authentication
2024,EPA,Physical Breach,366449,467538.915,Medium,Government,Unintentional Info Leak ,1,Regular Security Training
2021,USPS,Malware,318644,590470.832,Critical,Government,Unintentional Info Leak ,1,Regular Security Training
2024,Johns Hopkins,Phishing,144982,546068.9262,Critical,Healthcare,Unintentional Info Leak ,1,Access Controls
2000,Amazon,DDoS Attack,781080,922266.4321,Medium,Technology,Improper Disposal ,2,Access Controls
2014,Amazon,Malware,216621,1071906.995,High,Retail,Improper Disposal ,2,Two-factor Authentication
2005,PNC Financial,Physical Breach,760712,455873.4202,Medium,Finance,Unintentional Info Leak ,1,Two-factor Authentication
2015,Morgan Stanley,Ransomware,787099,493543.4703,High,Finance,Unintentional Info Leak ,1,Two-factor Authentication
2016,Facebook,Insider Threat,268685,2452085.731,Critical,Technology,Weak Password Management,5,Two-factor Authentication
2012,Amazon,Insider Threat,900146,1469120.797,Medium,Retail,Insider Threat,3,Two-factor Authentication
2013,Citigroup,Malware,736276,413778.5629,High,Finance,Unintentional Info Leak ,1,Access Controls
2000,Apple,Password Guessing,679805,1916073.864,Low,Technology,Phishing Attack,4,Regular Security Training
2018,Facebook,Malware,544814,495513.5609,High,Technology,Unintentional Info Leak ,1,Two-factor Authentication
2019,Ascension,DDoS Attack,776788,1070463.665,Medium,Healthcare,Improper Disposal ,2,Regular Security Training
2013,Costco,Malware,982772,1020833.51,Medium,Retail,Improper Disposal ,2,Data Encryption
2003,HP,Phishing,522724,1990070.966,High,Technology,Phishing Attack,4,Data Encryption
2019,HUD,Phishing,822316,1981632.463,Low,Government,Phishing Attack,4,Two-factor Authentication
2023,American Express,Insider Threat,49758,2021178.769,High,Finance,Phishing Attack,4,Regular Security Training
2005,Citigroup,Phishing,366603,2550822.598,Low,Finance,Weak Password Management,5,Two-factor Authentication
2015,Target,Insider Threat,898728,1574546.587,High,Retail,Insider Threat,3,Two-factor Authentication
2009,US Bancorp,Insider Threat,944245,2459476.508,Medium,Finance,Weak Password Management,5,Data Encryption
2019,NASA,Insider Threat,517740,964340.8462,Critical,Government,Improper Disposal ,2,Regular Security Training
2007,Home Depot,Malware,845572,1017317.432,Medium,Retail,Improper Disposal ,2,Two-factor Authentication
2022,Capital One,Ransomware,931000,1546555.476,Medium,Finance,Insider Threat,3,Regular Security Training
2023,US Bancorp,Ransomware,745971,1013042.6,High,Finance,Improper Disposal ,2,Regular Audits
2018,FBI,DDoS Attack,944227,1521360.289,High,Government,Insider Threat,3,Regular Audits
2023,EPA,Password Guessing,951025,1110968.878,High,Government,Improper Disposal ,2,Regular Security Training
2000,PNC Financial,Password Guessing,36771,443399.0867,Medium,Finance,Unintentional Info Leak ,1,Data Encryption
2000,Amazon,Insider Threat,508348,935988.0563,Medium,Technology,Improper Disposal ,2,Access Controls
2014,Wells Fargo,Insider Threat,652493,1019211.667,High,Finance,Improper Disposal ,2,Regular Audits
2010,Home Depot,Malware,268685,974404.0334,Critical,Retail,Improper Disposal ,2,Access Controls
2021,US Bancorp,Password Guessing,898805,1539414.14,High,Finance,Insider Threat,3,Data Encryption
2013,Oracle,Physical Breach,133359,997931.8248,Critical,Technology,Improper Disposal ,2,Two-factor Authentication
2017,Kaiser Permanente,Malware,916728,543909.4246,High,Healthcare,Unintentional Info Leak ,1,Two-factor Authentication
2016,PNC Financial,Insider Threat,860860,2508125.731,Critical,Finance,Weak Password Management,5,Regular Security Training
2021,CVS,DDoS Attack,18531,962848.6774,High,Retail,Improper Disposal ,2,Regular Audits
2024,NASA,Physical Breach,902697,1943549.58,Low,Government,Phishing Attack,4,Data Encryption
2017,Kaiser Permanente,Password Guessing,994172,1495374.69,Medium,Healthcare,Insider Threat,3,Two-factor Authentication
2021,PNC Financial,Password Guessing,666124,1090483.908,Medium,Finance,Improper Disposal ,2,Regular Audits
2019,Bank of America,DDoS Attack,213018,963827.3543,Critical,Finance,Improper Disposal ,2,Data Encryption
2012,Walgreens,Insider Threat,938159,2519229.337,Medium,Retail,Weak Password Management,5,Two-factor Authentication
2002,Bank of America,Password Guessing,583753,1505279.183,Medium,Finance,Insider Threat,3,Regular Audits
2002,Capital One,DDoS Attack,431309,1516439.707,High,Finance,Insider Threat,3,Regular Security Training
2012,Kroger,Password Guessing,440363,1486060.438,Medium,Retail,Insider Threat,3,Two-factor Authentication
2007,UPMC,Malware,936999,2500873.629,High,Healthcare,Weak Password Management,5,Regular Security Training
2006,Tenet Healthcare,Malware,705892,515428.727,Medium,Healthcare,Unintentional Info Leak ,1,Regular Audits
2009,Capital One,Phishing,810142,2036993.713,High,Finance,Phishing Attack,4,Data Encryption
2003,Mayo Clinic,Password Guessing,640668,1553119.107,Low,Healthcare,Insider Threat,3,Data Encryption
2001,Community Health Systems,DDoS Attack,935403,1022746.829,High,Healthcare,Improper Disposal ,2,Regular Audits
2005,DOE,DDoS Attack,306247,515049.3837,Medium,Government,Unintentional Info Leak ,1,Regular Audits
2011,HHS,DDoS Attack,892253,1008688.724,Critical,Government,Improper Disposal ,2,Access Controls
2001,Google,DDoS Attack,808346,1531285.334,High,Technology,Insider Threat,3,Data Encryption
2020,Wells Fargo,Ransomware,441030,498064.0867,Medium,Finance,Unintentional Info Leak ,1,Two-factor Authentication
2000,JPMorgan Chase,Password Guessing,846143,452188.5846,High,Finance,Unintentional Info Leak ,1,Regular Audits
2013,HCA Healthcare,Phishing,819855,491779.6142,High,Healthcare,Unintentional Info Leak ,1,Regular Audits
2012,IBM,Physical Breach,913673,1545956.858,Medium,Technology,Insider Threat,3,Two-factor Authentication
2018,Intel,Physical Breach,100524,1432276.132,High,Technology,Insider Threat,3,Regular Audits
2021,Goldman Sachs,Insider Threat,855886,1521640.56,High,Finance,Insider Threat,3,Access Controls
2014,Morgan Stanley,DDoS Attack,549159,565081.1691,Medium,Finance,Unintentional Info Leak ,1,Two-factor Authentication
2006,Kroger,Malware,26317,1540516.402,Medium,Retail,Insider Threat,3,Access Controls
2000,Best Buy,DDoS Attack,935223,1025670.045,Critical,Retail,Improper Disposal ,2,Data Encryption
2007,Kroger,Insider Threat,822779,1515831.243,High,Retail,Insider Threat,3,Regular Security Training
2006,Ascension,DDoS Attack,906427,507898.5546,Medium,Healthcare,Unintentional Info Leak ,1,Data Encryption
2024,Kaiser Permanente,DDoS Attack,525116,486585.5461,Medium,Healthcare,Unintentional Info Leak ,1,Regular Audits
2023,IBM,Ransomware,869937,972577.854,Critical,Technology,Improper Disposal ,2,Access Controls
2010,Facebook,Password Guessing,196236,967655.5484,Medium,Technology,Improper Disposal ,2,Data Encryption
2010,US Bancorp,Ransomware,792434,1477614.907,Medium,Finance,Insider Threat,3,Two-factor Authentication
2006,Home Depot,Ransomware,953977,2575745.62,High,Retail,Weak Password Management,5,Regular Audits
2017,Treasury Department,Insider Threat,649513,1493050.036,Medium,Government,Insider Threat,3,Regular Audits
2021,Cleveland Clinic,DDoS Attack,277163,2018683.749,Medium,Healthcare,Phishing Attack,4,Access Controls
2004,Facebook,Phishing,887056,2512935.224,Critical,Technology,Weak Password Management,5,Regular Audits
2018,Kindred Healthcare,Ransomware,236745,2566562.132,Low,Healthcare,Weak Password Management,5,Regular Security Training
2021,CIA,Phishing,519513,2551768.362,High,Government,Weak Password Management,5,Regular Security Training
2007,Target,Password Guessing,851945,2015003.415,Low,Retail,Phishing Attack,4,Two-factor Authentication
2019,Johns Hopkins,DDoS Attack,461272,502750.4599,High,Healthcare,Unintentional Info Leak ,1,Regular Security Training
2013,Kaiser Permanente,DDoS Attack,544761,1044010.663,High,Healthcare,Improper Disposal ,2,Data Encryption
2022,Walmart,DDoS Attack,841669,2416987.55,Medium,Retail,Weak Password Management,5,Data Encryption
2017,Lowe's,Phishing,727871,912102.4256,Critical,Retail,Improper Disposal ,2,Regular Audits
2018,Johns Hopkins,Phishing,963046,2380372.979,High,Healthcare,Weak Password Management,5,Regular Audits
2010,Cleveland Clinic,DDoS Attack,867431,2098376.194,High,Healthcare,Phishing Attack,4,Regular Security Training
2014,Apple,Physical Breach,878252,1001678.319,High,Technology,Improper Disposal ,2,Regular Audits
2013,Kaiser Permanente,Malware,24189,2514864.598,High,Healthcare,Weak Password Management,5,Data Encryption
2015,Walgreens,Phishing,716136,1932369.165,Critical,Retail,Phishing Attack,4,Regular Audits
2008,Kindred Healthcare,Password Guessing,627774,947838.2265,High,Healthcare,Improper Disposal ,2,Access Controls
2006,HUD,Ransomware,565548,488999.6971,Medium,Government,Unintentional Info Leak ,1,Regular Audits
2016,Capital One,Malware,804524,575159.5175,High,Finance,Unintentional Info Leak ,1,Two-factor Authentication
2019,Wells Fargo,Password Guessing,792115,1062248.673,Medium,Finance,Improper Disposal ,2,Regular Audits
2002,Walmart,Insider Threat,766859,1445161.101,Medium,Retail,Insider Threat,3,Regular Security Training
2005,Amazon,Password Guessing,974944,2464517.566,Medium,Technology,Weak Password Management,5,Two-factor Authentication
2012,CVS,Password Guessing,996129,517540.9098,Critical,Retail,Unintentional Info Leak ,1,Access Controls
2004,Cisco,Malware,101519,1034483.243,Medium,Technology,Improper Disposal ,2,Data Encryption
2015,Kindred Healthcare,Malware,274159,1592541.766,Medium,Healthcare,Insider Threat,3,Data Encryption
2014,Home Depot,Physical Breach,271289,422220.9705,High,Retail,Unintentional Info Leak ,1,Two-factor Authentication
2021,Cisco,Phishing,177698,1061997.436,Critical,Technology,Improper Disposal ,2,Two-factor Authentication
2010,Walmart,Ransomware,29996,1018368.473,High,Retail,Improper Disposal ,2,Two-factor Authentication
2005,FBI,Password Guessing,652031,1566858.853,High,Government,Insider Threat,3,Two-factor Authentication
2021,Microsoft,Physical Breach,393343,2508226.95,Critical,Technology,Weak Password Management,5,Regular Audits
2004,Facebook,Phishing,653300,2461395.013,High,Technology,Weak Password Management,5,Data Encryption
2009,Citigroup,Ransomware,717211,2490622.314,High,Finance,Weak Password Management,5,Access Controls
2006,Morgan Stanley,Malware,643978,1445540.582,Critical,Finance,Insider Threat,3,Access Controls
2014,DOD,Password Guessing,582395,1582210.952,Medium,Government,Insider Threat,3,Regular Security Training
2015,Amazon,DDoS Attack,424923,1429152.265,Low,Retail,Insider Threat,3,Regular Audits
2003,Home Depot,Phishing,696743,2501432.991,Critical,Retail,Weak Password Management,5,Regular Audits
2022,Community Health Systems,Physical Breach,414332,921883.1677,High,Healthcare,Improper Disposal ,2,Data Encryption
2004,Community Health Systems,DDoS Attack,208661,1458031.145,High,Healthcare,Insider Threat,3,Access Controls
2012,Intel,Insider Threat,25991,464909.3969,Medium,Technology,Unintentional Info Leak ,1,Regular Audits
2012,Kindred Healthcare,Insider Threat,825558,553048.7679,High,Healthcare,Unintentional Info Leak ,1,Regular Audits
2001,JPMorgan Chase,Phishing,323038,937530.3637,High,Finance,Improper Disposal ,2,Regular Audits
2005,Costco,Password Guessing,51285,1408418.527,Low,Retail,Insider Threat,3,Access Controls
2006,Wells Fargo,Physical Breach,55982,1456184.547,High,Finance,Insider Threat,3,Regular Audits
2016,HP,Physical Breach,389837,1979831.74,Low,Technology,Phishing Attack,4,Two-factor Authentication
2014,Microsoft,Malware,748016,1996341.218,High,Technology,Phishing Attack,4,Regular Security Training
2018,American Express,Phishing,967877,1533256.944,Critical,Finance,Insider Threat,3,Data Encryption
2000,HP,Password Guessing,854161,976318.1938,Medium,Technology,Improper Disposal ,2,Access Controls
2007,Microsoft,DDoS Attack,422484,1014721.007,Medium,Technology,Improper Disposal ,2,Regular Audits
2021,American Express,Insider Threat,714446,1995732.061,Critical,Finance,Phishing Attack,4,Regular Security Training
2020,Target,Insider Threat,724812,1935291.845,Critical,Retail,Phishing Attack,4,Data Encryption
2006,JPMorgan Chase,Ransomware,630281,2495885.496,High,Finance,Weak Password Management,5,Access Controls
2004,Cleveland Clinic,Phishing,669568,1042847.79,Medium,Healthcare,Improper Disposal ,2,Two-factor Authentication
2005,Home Depot,Ransomware,176496,513285.4438,Medium,Retail,Unintentional Info Leak ,1,Data Encryption
2017,USPS,Ransomware,898065,2526199.415,Medium,Government,Weak Password Management,5,Access Controls
2006,PNC Financial,Physical Breach,888571,2436302.617,Medium,Finance,Weak Password Management,5,Access Controls
2015,JPMorgan Chase,Phishing,240751,1010791.974,Medium,Finance,Improper Disposal ,2,Two-factor Authentication
2007,HCA Healthcare,Physical Breach,389918,1021669.551,Medium,Healthcare,Improper Disposal ,2,Two-factor Authentication
2021,UPMC,DDoS Attack,199148,483846.8276,High,Healthcare,Unintentional Info Leak ,1,Regular Audits
2000,Cisco,Ransomware,902238,1859441.048,Critical,Technology,Phishing Attack,4,Access Controls
2006,HCA Healthcare,Insider Threat,399494,508469.8256,Medium,Healthcare,Unintentional Info Leak ,1,Regular Security Training
2005,NASA,Ransomware,690975,1968971.261,Low,Government,Phishing Attack,4,Two-factor Authentication
2007,CVS,Physical Breach,302787,2051666.387,Medium,Retail,Phishing Attack,4,Two-factor Authentication
2003,UPMC,Insider Threat,544211,2507315.916,High,Healthcare,Weak Password Management,5,Data Encryption
2011,Mayo Clinic,Malware,946311,2082502.492,Medium,Healthcare,Phishing Attack,4,Two-factor Authentication
2018,Community Health Systems,DDoS Attack,407351,1503324.767,Medium,Healthcare,Insider Threat,3,Two-factor Authentication
2018,Amazon,Phishing,21754,596143.6909,Critical,Technology,Unintentional Info Leak ,1,Access Controls
2009,HUD,Insider Threat,955456,1956538.395,High,Government,Phishing Attack,4,Data Encryption
2011,Cleveland Clinic,Insider Threat,965088,2511165.622,High,Healthcare,Weak Password Management,5,Regular Security Training
2004,Bank of America,Password Guessing,767486,515167.9038,Critical,Finance,Unintentional Info Leak ,1,Regular Security Training
2011,Facebook,Insider Threat,845576,1008631.188,Low,Technology,Improper Disposal ,2,Regular Audits
2007,Kindred Healthcare,Malware,881945,2063707.217,Medium,Healthcare,Phishing Attack,4,Access Controls
2013,Wells Fargo,Password Guessing,475283,2544508.759,Medium,Finance,Weak Password Management,5,Data Encryption
2010,Treasury Department,Malware,759443,462026.2885,Medium,Government,Unintentional Info Leak ,1,Regular Audits
2006,Target,Insider Threat,575835,595806.305,High,Retail,Unintentional Info Leak ,1,Data Encryption
2006,Citigroup,Malware,494074,1913629.191,High,Finance,Phishing Attack,4,Regular Audits
2013,IBM,Malware,228727,2009824.066,Critical,Technology,Phishing Attack,4,Regular Audits
2013,Kindred Healthcare,Insider Threat,25993,1941615.987,Medium,Healthcare,Phishing Attack,4,Data Encryption
2023,HHS,DDoS Attack,164426,2572354.053,High,Government,Weak Password Management,5,Regular Security Training
2013,Amazon,Insider Threat,258633,2536135.98,Medium,Technology,Weak Password Management,5,Data Encryption
2019,American Express,Password Guessing,659595,1492065.567,High,Finance,Insider Threat,3,Two-factor Authentication
2000,USPS,DDoS Attack,912698,651658.1705,Critical,Government,Unintentional Info Leak ,1,Data Encryption
2006,Treasury Department,Malware,323501,1488533.033,Medium,Government,Insider Threat,3,Regular Audits
2014,Johns Hopkins,Ransomware,738781,1996502.499,Medium,Healthcare,Phishing Attack,4,Regular Security Training
2004,Kroger,Insider Threat,125193,2462427.286,High,Retail,Weak Password Management,5,Regular Audits
2017,Oracle,Password Guessing,295895,2606614.526,Critical,Technology,Weak Password Management,5,Regular Security Training
2014,Citigroup,DDoS Attack,42291,634502.3943,Medium,Finance,Unintentional Info Leak ,1,Access Controls
2005,Google,Physical Breach,722547,1581937.368,Medium,Technology,Insider Threat,3,Regular Audits
2018,Home Depot,Insider Threat,938414,2472136.853,High,Retail,Weak Password Management,5,Data Encryption
2010,CVS,Ransomware,73236,506015.9965,High,Retail,Unintentional Info Leak ,1,Regular Security Training
2003,JPMorgan Chase,Password Guessing,337276,1518425.686,High,Finance,Insider Threat,3,Data Encryption
2019,Walmart,Phishing,653069,2511946.803,High,Retail,Weak Password Management,5,Data Encryption
2008,Home Depot,Physical Breach,294859,453552.733,Critical,Retail,Unintentional Info Leak ,1,Access Controls
2010,USPS,Phishing,681950,2422777.268,Medium,Government,Weak Password Management,5,Access Controls
2010,CVS,Ransomware,787429,2467445.431,High,Retail,Weak Password Management,5,Data Encryption
2017,Kaiser Permanente,Malware,915400,1061208.554,High,Healthcare,Improper Disposal ,2,Two-factor Authentication
2009,Home Depot,Malware,949473,1533152.837,Medium,Retail,Insider Threat,3,Access Controls
2010,Kroger,DDoS Attack,538483,1478890.869,High,Retail,Insider Threat,3,Data Encryption
2004,Community Health Systems,Password Guessing,275294,583148.7887,High,Healthcare,Unintentional Info Leak ,1,Two-factor Authentication
2014,USPS,DDoS Attack,699585,2445324.333,Critical,Government,Weak Password Management,5,Two-factor Authentication
2004,IBM,Malware,79029,507310.4706,Low,Technology,Unintentional Info Leak ,1,Regular Security Training
2024,Google,DDoS Attack,80074,2006905.866,Low,Technology,Phishing Attack,4,Regular Audits
2002,Goldman Sachs,Physical Breach,657541,2378608.532,Critical,Finance,Weak Password Management,5,Two-factor Authentication
2019,NASA,Phishing,739352,2533360.343,Critical,Government,Weak Password Management,5,Regular Security Training
2002,HCA Healthcare,Phishing,455001,1998179.59,Medium,Healthcare,Phishing Attack,4,Two-factor Authentication
2012,Cisco,Password Guessing,556046,982756.4863,Critical,Technology,Improper Disposal ,2,Regular Audits
2022,Ascension,Insider Threat,303056,1469543.633,High,Healthcare,Insider Threat,3,Access Controls
2005,Bank of America,Phishing,84422,953136.4759,Medium,Finance,Improper Disposal ,2,Regular Audits
2018,Amazon,Password Guessing,131034,1410579.49,Low,Retail,Insider Threat,3,Data Encryption
2024,Goldman Sachs,Malware,414839,2007835.842,High,Finance,Phishing Attack,4,Access Controls
2016,EPA,Malware,448242,1904706.93,Medium,Government,Phishing Attack,4,Regular Audits
2000,Kroger,Ransomware,791937,2524266.646,Low,Retail,Weak Password Management,5,Data Encryption
2023,Cleveland Clinic,Physical Breach,793356,429199.4635,Low,Healthcare,Unintentional Info Leak ,1,Two-factor Authentication
2023,UPMC,Ransomware,617708,1968853.457,Critical,Healthcare,Phishing Attack,4,Two-factor Authentication
2018,CVS,Password Guessing,881515,980582.7446,Medium,Retail,Improper Disposal ,2,Data Encryption
2015,Google,DDoS Attack,513845,447392.1288,Critical,Technology,Unintentional Info Leak ,1,Regular Security Training
2018,Oracle,Phishing,725424,1973226.725,High,Technology,Phishing Attack,4,Data Encryption
2012,FBI,DDoS Attack,943763,916766.3389,Medium,Government,Improper Disposal ,2,Access Controls
2000,Costco,DDoS Attack,333108,1515890.353,Critical,Retail,Insider Threat,3,Access Controls
2011,NASA,Insider Threat,830816,2010809.334,Critical,Government,Phishing Attack,4,Regular Audits
2005,Kroger,Phishing,18185,1461841.568,Medium,Retail,Insider Threat,3,Regular Security Training
2000,Amazon,Insider Threat,167006,1553402.364,Critical,Retail,Insider Threat,3,Data Encryption
2007,American Express,Insider Threat,637302,2503882.069,High,Finance,Weak Password Management,5,Access Controls
2021,Amazon,Ransomware,112161,1002276.887,Medium,Technology,Improper Disposal ,2,Regular Audits
2009,Wells Fargo,Malware,544962,554046.5531,Critical,Finance,Unintentional Info Leak ,1,Access Controls
2000,American Express,Password Guessing,167306,2490787.964,Medium,Finance,Weak Password Management,5,Access Controls
2019,Target,Physical Breach,136715,496544.7648,Medium,Retail,Unintentional Info Leak ,1,Regular Security Training
2011,Microsoft,Insider Threat,67191,1517875.297,Medium,Technology,Insider Threat,3,Regular Security Training
2010,Kaiser Permanente,DDoS Attack,947396,2010840.051,Critical,Healthcare,Phishing Attack,4,Data Encryption
2017,Bank of America,Physical Breach,833378,2490712.152,Medium,Finance,Weak Password Management,5,Data Encryption
2020,Amazon,Malware,743501,1470203.163,Medium,Retail,Insider Threat,3,Access Controls
2018,Cisco,Phishing,329686,1496898.886,Low,Technology,Insider Threat,3,Regular Audits
2010,CVS,Physical Breach,515788,502805.5127,Critical,Retail,Unintentional Info Leak ,1,Two-factor Authentication
2014,HUD,DDoS Attack,203565,527179.1167,Medium,Government,Unintentional Info Leak ,1,Data Encryption
2024,Best Buy,Insider Threat,259563,2378157.042,Low,Retail,Weak Password Management,5,Regular Audits
2015,Tenet Healthcare,Malware,822752,1965077.448,Medium,Healthcare,Phishing Attack,4,Regular Audits
2017,American Express,DDoS Attack,851110,534421.6516,Critical,Finance,Unintentional Info Leak ,1,Regular Audits
2003,Facebook,Password Guessing,64504,2061117.539,Medium,Technology,Phishing Attack,4,Data Encryption
2007,Target,Insider Threat,735680,440717.0496,Low,Retail,Unintentional Info Leak ,1,Regular Security Training
2004,Mayo Clinic,Phishing,31221,2045290.829,High,Healthcare,Phishing Attack,4,Data Encryption
2014,Cleveland Clinic,Insider Threat,657293,1601898.224,Medium,Healthcare,Insider Threat,3,Data Encryption
